Parent Category,Name,Display Name,Explaining Text,Supported On,Type,Label,Registry Key,Value Name,Possible Values
Device Control,DeviceControl_DataDuplicationLocalRetentionPeriod,Set the retention period for files in the local device control cache,This policy setting determines how long device control retains files for evidence in its local cache on the device. Device control keeps a file in its local cache only if it is unable to upload the file to a designated network share or Azure storage. By default  device control retains files in its local cache for 60 days.    ,At least Windows Server 2016  Windows 10 Version 1607,decimalTextBox,Set the retention period for files in the local device control cache,Software\Policies\Microsoft\Windows Defender\Device Control,DataDuplicationLocalRetentionPeriod,Textbox values:    0 (minimum)   10000 (maximum)
Device Control,DeviceControl_SecuredDevicesConfiguration,Turn on device control for specific device types,This policy setting controls which device types  identified by their PrimaryIds  will have device control protection turned on. If you enable this setting for certain device types  device control will regulate access to those devices based on the corresponding custom policy. Device control will be turned off for all other types of supported devices  even if custom protection policies are configured for those devices. This setting currently supports these device types: RemovableMediaDevices  CdRomDevices  WpdDevices  and PrinterDevices.  If you enable this policy setting but do not specify any PrimaryIds  device control will be turned off across all supported device types. If you disable or donâ€™t configure this policy setting  device control will be enforced on all supported devicesbased on their corresponding custom policies.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_SecuredDevicesConfiguration,Turn on device control for specific device types,This policy setting controls which device types  identified by their PrimaryIds  will have device control protection turned on. If you enable this setting for certain device types  device control will regulate access to those devices based on the corresponding custom policy. Device control will be turned off for all other types of supported devices  even if custom protection policies are configured for those devices. This setting currently supports these device types: RemovableMediaDevices  CdRomDevices  WpdDevices  and PrinterDevices.  If you enable this policy setting but do not specify any PrimaryIds  device control will be turned off across all supported device types. If you disable or donâ€™t configure this policy setting  device control will be enforced on all supported devicesbased on their corresponding custom policies.    ,At least Windows Server 2016  Windows 10 Version 1607,textBox,Turn on device control for specific device types,Software\Policies\Microsoft\Windows Defender\Device Control,SecuredDevicesConfiguration,
Device Control,DeviceControl_CustomSupportLink,Set up a support link for device control notifications,"This setting enables your organization to specify the â€˜Get Supportâ€™ link in device control notifications. 				When configured  the â€˜Get Supportâ€ button automatically navigates to the specified link.    ",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_CustomSupportLink,Set up a support link for device control notifications,"This setting enables your organization to specify the â€˜Get Supportâ€™ link in device control notifications. 				When configured  the â€˜Get Supportâ€ button automatically navigates to the specified link.    ",At least Windows Server 2016  Windows 10 Version 1607,textBox,Set up a support link for device control notifications,Software\Policies\Microsoft\Windows Defender\Device Control,CustomSupportLink,
Device Control,DeviceControl_PolicyRefreshFailureInterval,Set the policy refresh rate,"This setting defines the interval  in minutes  at which the device will retry loading the policy configuration in the case that an error has occurred and the policy could not load.	",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_PolicyRefreshFailureInterval,Set the policy refresh rate,"This setting defines the interval  in minutes  at which the device will retry loading the policy configuration in the case that an error has occurred and the policy could not load.	",At least Windows Server 2016  Windows 10 Version 1607,textBox,Set the policy refresh rate,Software\Policies\Microsoft\Windows Defender\Device Control,PolicyRefreshFailureInterval,
Device Control,DeviceControl_AzureAdRefreshInterval,Set the Azure AD refresh rate,"This setting defines the interval  in minutes  at which the device will query Azure AD to update related settings  configuration  and group memberships.	",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_AzureAdRefreshInterval,Set the Azure AD refresh rate,"This setting defines the interval  in minutes  at which the device will query Azure AD to update related settings  configuration  and group memberships.	",At least Windows Server 2016  Windows 10 Version 1607,textBox,Set the Azure AD refresh rate,Software\Policies\Microsoft\Windows Defender\Device Control,AzureAdRefreshInterval,
Device Control,DeviceControl_DataDuplicationMaximumQuota,Set the data duplication limit (MB),"This setting defines the maximum amount of data that can be duplicated for device control. 				When the limit is reached  files that are copied to removable storage will not be duplicated on the machine.	",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Device Control,,
Device Control,DeviceControl_DataDuplicationMaximumQuota,Set the data duplication limit (MB),"This setting defines the maximum amount of data that can be duplicated for device control. 				When the limit is reached  files that are copied to removable storage will not be duplicated on the machine.	",At least Windows Server 2016  Windows 10 Version 1607,textBox,Set the data duplication limit (MB),Software\Policies\Microsoft\Windows Defender\Device Control,DataDuplicationMaximumQuota,
Exclusions,DisableAutoExclusions,Turn off Auto Exclusions,Allows an administrator to specify if Automatic Exclusions feature for Server SKUs should be turned off.Disabled (Default):Microsoft Defender will exclude pre-defined list of paths from the scan to improve performance.Enabled:Microsoft Defender will not exclude pre-defined list of paths from scans. This can impact machine performance in some scenarios.Not configured:Same as Disabled.    ,At least Windows Server 2016,policy,,Software\Policies\Microsoft\Windows Defender\Exclusions,DisableAutoExclusions,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,AllowFastServiceStartup,Allow antimalware service to startup with normal priority,This policy setting controls the load priority for the antimalware service. Increasing the load priority will allow for faster service startup  but may impact performance.    If you enable or do not configure this setting  the antimalware service will load as a normal priority task.    If you disable this setting  the antimalware service will load as a low priority task.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,AllowFastServiceStartup,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,DisableAntiSpywareDefender,Turn off Microsoft Defender Antivirus,This policy setting turns off Microsoft Defender Antivirus.        If you enable this policy setting  Microsoft Defender Antivirus does not run  and will not scan computers for malware or other potentially unwanted software.    If you disable this policy setting  Microsoft Defender Antivirus will run regardless of any other installed antivirus product.    If you do not configure this policy setting  Windows will internally manage Microsoft Defender Antivirus. If you install another antivirus program  Windows automatically disables Microsoft Defender Antivirus. Otherwise  Microsoft Defender Antivirus will scan your computers for malware and other potentially unwanted software.    Enabling or disabling this policy may lead to unexpected or unsupported behavior. It is recommended that you leave this policy setting unconfigured.,At least Windows Vista,policy,,Software\Policies\Microsoft\Windows Defender,DisableAntiSpyware,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,DisableLocalAdminMerge,Configure local administrator merge behavior for lists,This policy setting controls whether or not complex list settings configured by a local administrator are merged with Group Policy settings. This setting applies to lists such as threats and Exclusions.    If you disable or do not configure this setting  unique items defined in Group Policy and in preference settings configured by the local administrator will be merged into the resulting effective policy. In the case of conflicts  Group policy Settings will override preference settings.    If you enable this setting  only items defined by Group Policy will be used in the resulting effective policy. Group Policy settings will override preference settings configured by the local administrator.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,DisableLocalAdminMerge,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,DisableRoutinelyTakingAction,Turn off routine remediation,    This policy setting allows you to configure whether Microsoft Defender Antivirus automatically takes action on all detected threats. The action to be taken on a particular threat is determined by the combination of the policy-defined action  user-defined action  and the signature-defined action.    If you enable this policy setting  Microsoft Defender Antivirus does not automatically take action on the detected threats  but prompts users to choose from the actions available for each threat.    If you disable or do not configure this policy setting  Microsoft Defender Antivirus automatically takes action on all detected threats after a nonconfigurable delay of approximately five seconds.,At least Windows Vista,policy,,Software\Policies\Microsoft\Windows Defender,DisableRoutinelyTakingAction,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,ProxyBypass,Define addresses to bypass proxy server,This policy  if defined  will prevent antimalware from using the configured proxy server when communicating with the specified IP addresses. The address value should be entered as a valid URL.    If you enable this setting  the proxy server will be bypassed for the specified addresses.    If you disable or do not configure this setting  the proxy server will not be bypassed for the specified addresses.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,ProxyBypass,Define addresses to bypass proxy server,This policy  if defined  will prevent antimalware from using the configured proxy server when communicating with the specified IP addresses. The address value should be entered as a valid URL.    If you enable this setting  the proxy server will be bypassed for the specified addresses.    If you disable or do not configure this setting  the proxy server will not be bypassed for the specified addresses.,At least Windows Server 2012  Windows 8 or Windows RT,textBox,Define addresses to bypass proxy server,Software\Policies\Microsoft\Windows Defender,ProxyBypass (required),
Microsoft Defender Antivirus,ProxyPacUrl,Define proxy auto-config (.pac) for connecting to the network,This policy setting defines the URL of a proxy .pac file that should be used when the client attempts to connect the network for security intelligence updates and MAPS reporting. If the proxy auto-config fails or if there is no proxy auto-config specified  the client will fall back to the alternative options (in order):      1. Proxy server (if specified)      2. Proxy .pac URL (if specified)      3. None      4. Internet Explorer proxy settings      5. Autodetect      If you enable this setting  the proxy setting will be set to use the specified proxy .pac according to the order specified above.      If you disable or do not configure this setting  the proxy will skip over this fallback step according to the order specified above.,At least Windows Server 2016  Windows 10,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,ProxyPacUrl,Define proxy auto-config (.pac) for connecting to the network,This policy setting defines the URL of a proxy .pac file that should be used when the client attempts to connect the network for security intelligence updates and MAPS reporting. If the proxy auto-config fails or if there is no proxy auto-config specified  the client will fall back to the alternative options (in order):      1. Proxy server (if specified)      2. Proxy .pac URL (if specified)      3. None      4. Internet Explorer proxy settings      5. Autodetect      If you enable this setting  the proxy setting will be set to use the specified proxy .pac according to the order specified above.      If you disable or do not configure this setting  the proxy will skip over this fallback step according to the order specified above.,At least Windows Server 2016  Windows 10,textBox,Define proxy auto-config (.pac) for connecting to the network,Software\Policies\Microsoft\Windows Defender,ProxyPacUrl (required),
Microsoft Defender Antivirus,ProxyServer,Define proxy server for connecting to the network,This policy setting allows you to configure the named proxy that should be used when the client attempts to connect to the network for security intelligence updates and MAPS reporting. If the named proxy fails or if there is no proxy specified  the client will fall back to the alternative options (in order):      1. Proxy server (if specified)      2. Proxy .pac URL (if specified)      3. None      4. Internet Explorer proxy settings      5. Autodetect      If you enable this setting  the proxy will be set to the specified URL according to the order specified above. The URL should be proceeded with either http:// or https://.      If you disable or do not configure this setting  the proxy will skip over this fallback step according to the order specified above.    ,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,ProxyServer,Define proxy server for connecting to the network,This policy setting allows you to configure the named proxy that should be used when the client attempts to connect to the network for security intelligence updates and MAPS reporting. If the named proxy fails or if there is no proxy specified  the client will fall back to the alternative options (in order):      1. Proxy server (if specified)      2. Proxy .pac URL (if specified)      3. None      4. Internet Explorer proxy settings      5. Autodetect      If you enable this setting  the proxy will be set to the specified URL according to the order specified above. The URL should be proceeded with either http:// or https://.      If you disable or do not configure this setting  the proxy will skip over this fallback step according to the order specified above.    ,At least Windows Server 2012  Windows 8 or Windows RT,textBox,Define proxy server for connecting to the network,Software\Policies\Microsoft\Windows Defender,ProxyServer (required),
Microsoft Defender Antivirus,RandomizeScheduleTaskTimes,Randomize scheduled task times,This policy setting allows you to configure the randomization of the scheduled scan start time and the scheduled definition update start time.If you enable or do not configure this policy setting  and did not set a randomization window in the Configure scheduled task time randomization window setting   then randomization will be added between 0-4 hours.If you enable or do not configure this policy setting  and set a randomization window in the Configure scheduled task time randomization window setting  the configured randomization window will be used.If you disable this policy setting  but configured the scheduled task time randomization window  randomization will not be done.     ,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,RandomizeScheduleTaskTimes,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,SchedulerRandomizationTime,Configure scheduled task times randomization window,This policy setting allows you to configure scheduled task scan start time and the scheduled security intelligence update start time window in hours. This setting affects the Randomize scheduled task times configuration.If you enable this setting  you must pick a randomization window in hours. The possible randomization window interval is between 1 and 23 hours. The randomization interval implemented is between 0 and the configured value. When you enable this setting  Randomize scheduled task times settings uses the randomization window specified in this configuration setting. If you disable or do not configure this policy setting  Randomize scheduled task times settings will randomize scheduled task times between 0-4 hours.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,SchedulerRandomizationTime,Policy value:
Microsoft Defender Antivirus,SchedulerRandomizationTime,Configure scheduled task times randomization window,This policy setting allows you to configure scheduled task scan start time and the scheduled security intelligence update start time window in hours. This setting affects the Randomize scheduled task times configuration.If you enable this setting  you must pick a randomization window in hours. The possible randomization window interval is between 1 and 23 hours. The randomization interval implemented is between 0 and the configured value. When you enable this setting  Randomize scheduled task times settings uses the randomization window specified in this configuration setting. If you disable or do not configure this policy setting  Randomize scheduled task times settings will randomize scheduled task times between 0-4 hours.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify scheduler randomization window in hours.,Software\Policies\Microsoft\Windows Defender,SchedulerRandomizationTime,Textbox values:    1 (minimum)   23 (maximum)
Microsoft Defender Antivirus,ServiceKeepAlive,Allow antimalware service to remain running always,This policy setting allows you to configure whether or not the antimalware service remains running when antivirus and antispyware security intelligence is disabled. It is recommended that this setting remain disabled.    If you enable this setting  the antimalware service will always remain running even if both antivirus and antispyware security intelligence is disabled.    If you disable or do not configure this setting  the antimalware service will be stopped when both antivirus and antispyware security intelligence is disabled. If the computer is restarted  the service will be started if it is set to Automatic startup. After the service has started  there will be a check to see if antivirus and antispyware security intelligence is enabled. If at least one is enabled  the service will remain running. If both are disabled  the service will be stopped.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender,ServiceKeepAlive,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,SupportLogLocation,Define the directory path to copy support log files,This policy setting allows you to configure the directory path where the support log files would be copied to. The value of this setting should be a valid directory path.    If you enable this setting  the support log files will be copied to the specified support log location path.    If you disable or do not configure this setting  the support logs files will not be copied to any location.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,SupportLogLocation,Define the directory path to copy support log files,This policy setting allows you to configure the directory path where the support log files would be copied to. The value of this setting should be a valid directory path.    If you enable this setting  the support log files will be copied to the specified support log location path.    If you disable or do not configure this setting  the support logs files will not be copied to any location.,At least Windows Server 2016  Windows 10 Version 1607,textBox,Define the directory path to copy support log files,Software\Policies\Microsoft\Windows Defender,SupportLogLocation (required),
Microsoft Defender Antivirus,HideExclusionsFromLocalAdmins,Control whether or not exclusions are visible to Local Admins,    This policy setting controls whether or not exclusions are visible to Local Admins.  For end users (that are not Local Admins) exclusions are not visible  whether or not this setting is enabled.    Disabled(Default):If you disable or do not configure this setting  Local Admins will be able to see exclusions in the Windows Security App or via PowerShell.    Enabled: If you enable this setting  Local Admins will no longer be able to see the exclusion list in Windows Security App or via PowerShell.Note: Applying this setting will not remove exclusions  it will only prevent them from being visible to Local Admins. This is reflected inâ€¯Get-MpPreference.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,HideExclusionsFromLocalAdmins,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,HideExclusionsFromLocalUsers,Control whether exclusions are visible to local users,    This policy setting controls whether exclusions are visible to local users on the device.    Use the policy setting HideExclusionsFromLocalAdmins to hide exclusions from both standard and administrative local users.,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,HideExclusionsFromLocalUsers,Policy value:   1 (Enabled)   0 (Disabled)
Microsoft Defender Antivirus,Root_PUAProtection,Configure detection for potentially unwanted applications,Enable or disable detection for potentially unwanted applications. You can choose to block  audit  or allow when potentially unwanted software is being downloaded or attempts to install itself on your computer.Enabled:Specify the mode in the Options section:-Block: Potentially unwanted software will be blocked.-Audit Mode: Potentially unwanted software will not be blocked  however if this feature would have blocked access if it were set to Block  then a record of the event will be in the event logs.Disabled:Potentially unwanted software will not be blocked.Not configured:Same as Disabled.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,PUAProtection,Policy value:
Microsoft Defender Antivirus,Root_PUAProtection,Configure detection for potentially unwanted applications,Enable or disable detection for potentially unwanted applications. You can choose to block  audit  or allow when potentially unwanted software is being downloaded or attempts to install itself on your computer.Enabled:Specify the mode in the Options section:-Block: Potentially unwanted software will be blocked.-Audit Mode: Potentially unwanted software will not be blocked  however if this feature would have blocked access if it were set to Block  then a record of the event will be in the event logs.Disabled:Potentially unwanted software will not be blocked.Not configured:Same as Disabled.    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,,Software\Policies\Microsoft\Windows Defender,PUAProtection (required),"List items:      ""0"" = ""Disable (Default)""      ""1"" = ""Block""      ""2"" = ""Audit Mode"""
Microsoft Defender Antivirus,Root_PlatformUpdateChannel,Select the channel for Microsoft Defender monthly platform updates,Enable this policy to specify when devices receive Microsoft Defender platform updates during the monthly gradual rollout.â€‹Beta Channel: Devices set to this channel will be the first to receive new updates. Select Beta Channel to participate in identifying and reporting issues to Microsoft. Devices in the Windows Insider Program are subscribed to this channel by default. For use in (manual) test environments only and a limited number of devices.Current Channel (Preview): Devices set to this channel will be offered updates earliest during the monthly gradual release cycle. Suggested for pre-production/validation environments.Current Channel (Staged): Devices will be offered updates after the monthly gradual release cycle. Suggested to apply to a small  representative part of your production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the gradual release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,Root_PlatformUpdateChannel,Select the channel for Microsoft Defender monthly platform updates,Enable this policy to specify when devices receive Microsoft Defender platform updates during the monthly gradual rollout.â€‹Beta Channel: Devices set to this channel will be the first to receive new updates. Select Beta Channel to participate in identifying and reporting issues to Microsoft. Devices in the Windows Insider Program are subscribed to this channel by default. For use in (manual) test environments only and a limited number of devices.Current Channel (Preview): Devices set to this channel will be offered updates earliest during the monthly gradual release cycle. Suggested for pre-production/validation environments.Current Channel (Staged): Devices will be offered updates after the monthly gradual release cycle. Suggested to apply to a small  representative part of your production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the gradual release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Select the channel for Microsoft Defender monthly platform updates:,Software\Policies\Microsoft\Windows Defender,PlatformRing (required),"List items:      ""2"" = ""Beta Channel""      ""3"" = ""Current Channel (Preview)""      ""4"" = ""Current Channel (Staged)""      ""5"" = ""Current Channel (Broad)""      ""6"" = ""Critical - Time delay"""
Microsoft Defender Antivirus,Root_EngineUpdateChannel,Select the channel for Microsoft Defender monthly engine updates,Enable this policy to specify when devices receive Microsoft Defender engine updates during the monthly gradual rollout.â€‹Beta Channel: Devices set to this channel will be the first to receive new updates. Select Beta Channel to participate in identifying and reporting issues to Microsoft. Devices in the Windows Insider Program are subscribed to this channel by default. For use in (manual) test environments only and a limited number of devices.Current Channel (Preview): Devices set to this channel will be offered updates earliest during the monthly gradual release cycle. Suggested for pre-production/validation environments.Current Channel (Staged): Devices will be offered updates after the monthly gradual release cycle. Suggested to apply to a small  representative part of your production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the gradual release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,Root_EngineUpdateChannel,Select the channel for Microsoft Defender monthly engine updates,Enable this policy to specify when devices receive Microsoft Defender engine updates during the monthly gradual rollout.â€‹Beta Channel: Devices set to this channel will be the first to receive new updates. Select Beta Channel to participate in identifying and reporting issues to Microsoft. Devices in the Windows Insider Program are subscribed to this channel by default. For use in (manual) test environments only and a limited number of devices.Current Channel (Preview): Devices set to this channel will be offered updates earliest during the monthly gradual release cycle. Suggested for pre-production/validation environments.Current Channel (Staged): Devices will be offered updates after the monthly gradual release cycle. Suggested to apply to a small  representative part of your production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the gradual release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Select the channel for Microsoft Defender monthly engine updates:,Software\Policies\Microsoft\Windows Defender,EngineRing (required),"List items:      ""2"" = ""Beta Channel""      ""3"" = ""Current Channel (Preview)""      ""4"" = ""Current Channel (Staged)""      ""5"" = ""Current Channel (Broad)""      ""6"" = ""Critical - Time delay"""
Microsoft Defender Antivirus,Root_SecurityIntelligenceUpdateChannel,Select the channel for Microsoft Defender daily security intelligence updates,Enable this policy to specify when devices receive Microsoft Defender security intelligence updates during the daily gradual rollout.Current Channel (Staged): Devices will be offered updates after the release cycle. Suggested to apply to a small  representative part of production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the daily release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender,,
Microsoft Defender Antivirus,Root_SecurityIntelligenceUpdateChannel,Select the channel for Microsoft Defender daily security intelligence updates,Enable this policy to specify when devices receive Microsoft Defender security intelligence updates during the daily gradual rollout.Current Channel (Staged): Devices will be offered updates after the release cycle. Suggested to apply to a small  representative part of production population (~10%).Current Channel (Broad): Devices will be offered updates only after the gradual release cycle completes. Suggested to apply to a broad set of devices in your production population (~10-100%).Critical - Time delay: Devices will be offered updates with a 48-hour delay. Suggested for critical environments only.If you disable or do not configure this policy  the device will stay up to date automatically during the daily release cycle. Suitable for most devices.    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Select the channel for Microsoft Defender daily security intelligence updates:,Software\Policies\Microsoft\Windows Defender,SignaturesRing (required),"List items:      ""4"" = ""Current Channel (Staged)""      ""5"" = ""Current Channel (Broad)"""
Exclusions,Exclusions_Extensions,Extension Exclusions,"This policy setting allows you specify a list of file types that should be excluded from scheduled  custom  and real-time scanning. File types should be added under the Options for this setting. Each entry must be listed as a name value pair  where the name should be a string representation of the file type extension (such as ""obj"" or ""lib""). The value is not used and it is recommended that this be set to 0.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Exclusions,Exclusions_Extensions,Policy value:
Exclusions,Exclusions_Extensions,Extension Exclusions,"This policy setting allows you specify a list of file types that should be excluded from scheduled  custom  and real-time scanning. File types should be added under the Options for this setting. Each entry must be listed as a name value pair  where the name should be a string representation of the file type extension (such as ""obj"" or ""lib""). The value is not used and it is recommended that this be set to 0.",At least Windows Server 2012  Windows 8 or Windows RT,listBox,Extension Exclusions,Software\Policies\Microsoft\Windows Defender\Exclusions\Extensions,(value list) (append),
Exclusions,Exclusions_Paths,Path Exclusions,"This policy setting allows you to disable scheduled and real-time scanning for files under the paths specified or for the fully qualified resources specified. Paths should be added under the Options for this setting. Each entry must be listed as a name value pair  where the name should be a string representation of a path or a fully qualified resource name. As an example  a path might be defined as: ""c:\Windows"" to exclude all files in this directory. A fully qualified resource name might be defined as: ""C:\Windows\App.exe"". The value is not used and it is recommended that this be set to 0.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Exclusions,Exclusions_Paths,Policy value:
